,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
25,6.69E-002,8.69E+003,1.10E+002,1.80E+002,2.63E+001,3.10E+001,1.20E+002,4.20E-003,1.56E-003,9.49E+002,1.61E+000,9.72E-001,1.96E-006,5.86E-009,3.58E+001,5.60E-002,3.49E+001,1.15E-001,9.13E+001,2.40E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.93E+006,7.80E+002,3.84E+002
26,1.24E-001,1.72E+004,1.33E+001,7.47E+001,5.21E+001,1.43E+002,1.98E+002,5.58E-003,5.05E-003,3.42E+002,1.85E+000,1.68E-001,1.38E-006,5.08E-010,2.47E+001,1.37E-002,7.06E+001,5.00E-002,8.37E+001,7.74E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.54E+007,1.19E+005,1.35E+001
27,1.11E-001,9.20E+003,6.77E+001,8.78E+001,4.30E+001,1.19E+002,7.26E+001,4.38E-003,4.91E-004,7.09E+002,1.64E+000,1.82E+000,2.16E-006,9.13E-009,9.04E+000,7.43E-002,2.41E+001,6.22E-002,2.92E+001,1.01E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.35E+007,5.49E+002,1.90E+001
28,9.72E-002,2.07E+003,1.89E+002,7.53E+001,4.42E+001,1.58E+002,8.17E+001,5.60E-003,1.83E-003,9.77E+002,3.85E-001,1.69E+000,4.44E-006,2.14E-009,2.09E+001,5.34E-002,7.84E+000,7.63E-002,2.47E+001,1.06E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,8.26E+006,8.27E+004,2.95E+002
29,4.49E-002,1.84E+004,1.95E+002,7.02E+001,3.55E+001,1.49E+001,1.47E+002,1.69E-003,3.70E-003,3.69E+001,1.75E+000,5.34E-001,8.05E-007,1.99E-009,1.21E+001,4.00E-002,8.13E+001,1.20E-001,7.69E+001,5.31E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.26E+007,1.63E+000,4.46E-001
30,1.37E-001,1.47E+004,1.44E+002,8.23E+001,4.88E+001,1.67E+002,2.73E+001,1.95E-003,2.87E-003,4.12E+002,1.42E+000,1.81E-001,9.01E-006,6.66E-009,1.92E+001,5.13E-003,4.75E+001,4.62E-002,4.08E+001,3.67E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.23E+007,7.48E+004,2.66E+003
31,7.40E-002,3.26E+001,1.33E+002,2.00E+002,1.70E+002,1.31E+002,1.43E+002,3.47E-003,2.44E-003,9.73E+002,8.26E-001,1.26E+000,2.13E-006,7.57E-009,3.65E+001,8.87E-003,5.27E+001,2.74E-002,3.83E+001,9.35E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.74E+006,1.27E+005,9.56E+000
32,1.22E-001,1.67E+004,8.36E+001,8.47E+000,3.22E+001,1.85E+002,1.50E+002,2.16E-003,7.44E-004,8.43E+001,1.33E+000,1.72E+000,7.48E-006,2.80E-009,1.01E+001,1.11E-001,1.11E+001,8.60E-002,1.74E+001,2.17E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.79E+005,3.44E+005,2.48E+005
33,1.36E-002,1.64E+004,3.64E+001,9.38E+001,9.27E+001,1.57E+002,1.86E+002,8.56E-004,6.76E-003,9.07E+002,3.92E-001,6.26E-001,8.51E-006,4.59E-009,4.01E+000,4.74E-002,5.73E+001,4.70E-002,1.04E+001,3.46E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.80E+005,2.81E+004,3.12E+004
34,1.03E-001,1.09E+004,5.70E+001,8.12E+001,1.28E+002,1.99E+002,1.55E+002,2.69E-003,6.48E-004,2.89E+002,9.21E-001,7.37E-001,9.25E-007,3.60E-009,2.35E+001,1.14E-001,3.28E+001,9.52E-002,9.18E+001,8.47E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.69E+007,1.94E+002,4.03E+001
35,1.19E-001,4.54E+003,7.79E+001,4.60E+001,1.14E+002,1.52E+002,1.57E+002,3.41E-003,2.98E-003,2.50E+000,1.25E+000,1.23E+000,8.08E-006,4.00E-009,2.01E+001,8.62E-002,3.73E+001,3.15E-002,8.83E+001,6.08E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.70E+007,1.03E+000,2.67E-001
36,1.14E-001,9.97E+000,8.40E+001,7.65E+001,7.86E-001,4.90E+001,1.83E+002,2.48E-003,4.27E-003,4.35E+002,1.14E+000,1.16E+000,5.80E-006,4.70E-009,8.53E+000,5.09E-003,2.13E+001,7.46E-002,7.60E+001,9.80E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.59E+007,1.71E+003,2.66E+000
37,1.58E-001,2.78E+003,1.16E+002,1.61E+002,1.09E+002,1.33E+002,1.59E+002,7.64E-004,1.69E-003,7.76E+002,4.56E-001,2.64E-001,5.53E-007,6.13E-009,2.76E+001,2.78E-003,4.70E+001,3.56E-002,7.34E+001,8.29E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.22E+007,2.21E+005,8.13E+000
38,3.19E-002,1.23E+004,7.75E+000,8.83E+001,6.12E+001,1.47E+002,6.25E+000,1.67E-003,4.96E-003,7.03E+002,1.05E+000,1.00E+000,4.79E-006,7.84E-009,9.98E+000,8.37E-002,5.99E+001,1.25E-001,4.04E+001,1.02E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.87E+007,2.63E+002,3.29E+003
